id,title,content
14,技術者倫理,＜本科目は鶴岡工業高等専門学校との単位互換科目です。＞概要:技術は経済成長とともに高度化，複雑化および多様化を加速している．同時に事故や環境破壊，ひいては人命に関わる惨事も多発している．これらの背景を，技術者の倫理的側面からみると，未然に防げたケースが多い．なぜ技術者に倫理が必要かといった問いにその重要性や社会的背景を説く．そして自発的に「専門的職業人」としてのあり方を学ぶ．授業の進め方と授業内容・方法:講義型および参加体験型（グループワーク）
15,フィールドワークＤ,個人の研究テーマに関連した国内外での実地調査や研究活動（フィールドワーク）を行い、具体的な成果を挙げることが当科目の目的です。活動前に「研究計画書」等の書類を提出し、研究計画書の内容について書類選考が行われ、選考に通過した者のみ活動の翌学期において履修申告が認められます。申請方法、活動期間などの詳細は塾生の皆様へwebサイトをよく確認してください。（http://www.gakuji.keio.ac.jp/sfc/gsmg/fieldwork_mag.html）活動は春季・夏季休業期間中に行うものとします。活動前には各自がアドバイザーとして選定した教員より、3時間以上を基準にした事前オリエンテーションを受けることが必要です。活動時間に関しては、45時間以上の活動となることが前提です。研究テーマと関わりのない活動は申請不可です。フィールドワーク実施後は、レポートを提出してください。レポート課題については履修申告後にA館、τ館掲示板で告知しますので、履修申告をした学期は留意しておいてください。
16,フランス語海外研修Ａ,フランス語圏現地に赴き、慶應SFCフランス語セクションが認定した言語教育機関でフランス語を学びます。受講登録の指導は同フランス語セクションがしますが、現地への引率はしません。各自、自律的に行動してください。履修にあたって学習レベルは問われず、研修の初めにおこなわれるプレースメント・テストによって適切なレベルのクラスに振り分けられます。研修地として認めているのは次の場所です。 １）アリアンス・フランセ−ズ・ドゥ・ルーアン（フランス共和国、ルーアン市） ２）アリアンス・フランセーズ・ボルドー/アキテーヌ（フランス共和国、ボルドー市） ３）CAVILAM（クレルモン＝フェラン大学協定校）（フランス共和国、ヴィシー市） ４）フランシュ・コンテ大学応用言語学センター（フランス共和国、ブザンソン）
17,メタボロミクス,生命現象を包括的に理解するためには、ゲノム、トランスクリプトーム、プロテオーム情報に加えて、ゲノム情報の最終産物であるメタボローム情報が必要である。メタボロミクスは、細胞の制御機能の解明のみならずシグナル伝達経路、酵素の機能解明、代謝異常かがんなどの機序解明、バイオマーカーの探索などに対して有効な解決策を与えるのではないかと期待されている。本科目では、現在行われている最先端のメタボローム手法やメタボロミクスを微生物、植物、動物に応用した事例を学ぶ。
18,セキュリティ総論Ｃ,本科目は、文部科学省の「成長分野を支える情報技術人材の育成拠点の形成（enPiT2）」が提供するセキュリティ人材育成コース「Basic SecCap」の専門科目である。ネットワークを利用するに当たり、セキュリティに関する脅威と対策を理解させ、被害者にならないようにするとともに対策を一部実行できるようにする。具体的には、インターネット工学の基礎、暗号理論（共通鍵、公開鍵、ハッシュ）、ネットワークセキュリティ、攻撃防御、リスクマネジメント、CSIRT、法律と監査、について情報セキュリティ全般の基礎を学ぶ。本講義は、enPiT２対象科目とする。情報セキュリティ全般に対する基礎を習得するとともに、現実世界において知識の活用ができるようになることが目標である。理論から応用面まで幅広くカバーすることで全体を俯瞰できるようになる。
19,地球環境技術論,・地球環境保全への取り組みは、現代の最大課題の一つである。このため、学生がどのような進路、職業分野を選択しようとも、環境問題に関し少なからぬ係わりを持つことは避けられない。むしろ、どのような場面であれ、環境を避けるのでなく、賢く取り組むことこそが人類社会の、また、日本の、そして、当該学生の利益にかなうことである。しかし、環境の分野は極めて幅広い。地球自体から、生物の世界、そして人類社会という幅広い階層にかかわっている。このため、環境に係る科目は、細分化、専門化されているのが現状である。 ・そこで、本科目は、極めて幅広い環境の分野で学生がそれぞれに専門化した知識を学んでいくことに備え、そのような専門化が確実に実を結ぶようにするための確固とした基盤を整えるものである。 ・具体的には、幅広い環境分野を、科学と技術という統一的な視点から総覧し、学生がいかなる専門に進もうとも、環境分野全体を視野に収めながら知識を深め、あるいは応用的な研究を行えるような、いわば「海図」を提供するものである。 ・各回の授業においては、環境の特性、環境対策のキーポイントなる発想などが容易に理解できるような具体的な事例・ケースを取り上げ、そのような事例においてどのような科学的な見方や技術が用いられているかを解説する。 ・本科目は、他大学であれば、一人の教員が全体を講義する環境概論に近いものであるが、応用に優れたSFCの強みを活かし、それぞれのテーマに関しそれを専門とする教員が講義を担当するので、その深さ、そして、偏りのない視点やカバー領域の広さは、他に類例を見ないものである。
20,ソフトウェア工学,本講義の目的は基礎的なソフトウェア開発&#12095;法を修得することである．本講義では，システムソフトウエア開発を効率的，かつ，確実に進めるための技法を学ぶ．プログラミングの基礎的な知識（条件分岐，繰り返し，関数など，システムプログラミング基礎で学んだ知識）を学んだ後の次のステップとして，データベースシステムを中&#12092;とした，実&#12132;的，実践的ソフトウェア開発&#12095;法を習得する．データベースシステムは問合せ処理とトランザクション処理から構成される複雑なシステムソフトウェアである。このシステムソフトウェアの構成要素について、設計と実装を行うことでソフトウェア開発能力を養成する。履修者はC言語の基礎能力を有すること，ならびに春学期の「大規模データシステム論」の内容を習得していることが望まれる．さもなくば授業についていくことが難しいと考える．
21,意思決定能力の開発,恋愛から国際紛争に至るまで、ほとんどの事象は個人、グループ、グループ間の意思決定の結果・過程として分析できる。本授業では、合理的な人間であれば、どう意思決定をすべきかを示す演繹合理的意思決定論と、人間の意思決定プロセスそのものを実証的に解明し、人間が共通して犯しやすい誤り、実験経済学や認知社会心理学の立場から追究する実証合理的意思決定論を融合し、個人やグループ・組織がすぐれた意思決定を行うための科学実践的方策を提供する。意思決定そのものに関する理解を深め、「すぐれた意思決定」を行うための実践的なテクニック・方策を諸分野から選び、整理・検討する。その過程で、各人が自分特有の癖や弱点を把握し、これらを乗り超えて、戦略的に「すぐれた意思決定」ができるような能力を開発するのが目標である。
22,地域情報化論,本授業では、地域情報化の最新動向を紹介し、その意義、可能性、課題について考察する。特に、情報技術を駆使して、NPO、企業、自治体、大学などの多彩な主体の協働を実現し、地域の問題解決を図ることを目指す「地域情報化プロジェクト」に焦点を当てる。情報技術をいかしたまちづくりの実践、地域活性化や地域情報化政策に関心のある方々を対象とする。　授業では、地域情報化、地域社会学、ネットワーク論や、信頼に関する理論などを整理し、先進的な地域情報化プロジェクトの事例研究を行う。また実践知を育むために、地域情報化プロジェクトを題材にしたケースディスカッション、活躍されているリーダーの講演も適宜取り入れる。そして、地域における創発をもたらすプラットフォーム設計の具体的方策について探究する。　最終成果として、授業での議論や講義内容を参考にして、情報技術を活用した地域の問題解決に資する提言レポートの作成、発表を検討している。
23,フィールドワークＡ,研究テーマに関連した国内外での実地調査や研究活動（フィールドワーク）を行い、具体的な成果を挙げることが当科目の目的です。活動前に「研究計画書」等の書類を提出し、研究計画書の内容について書類選考が行われ、選考に通過した者のみ活動の翌学期において履修申告が認められます。申請方法、活動期間などの詳細は塾生の皆様へwebサイトをよく確認してください。（http://www.gakuji.keio.ac.jp/sfc/gsmg/fieldwork_mag.html）活動は春季・夏季休業期間中に行うものとします。活動前には各自がアドバイザーとして選定した教員より、3時間以上を基準にした事前オリエンテーションを受けることが必要です。活動時間に関しては、45時間以上の活動となることが前提です。研究テーマと関わりのない活動は申請不可です。フィールドワーク実施後は、レポートを提出してください。レポート課題については履修申告後にA館、τ館掲示板で告知しますので、履修申告をした学期は留意しておいてください。
24,マンガ,本講義は、「出版の未来」（2017年度秋学期開講・寄附講座）での議論をふまえ、巨大なコンテンツ市場を有する「マンガ」に着目し、その技術的・社会的課題について考える。国際的な文脈において、それぞれの文化や制度とともに形づくられていく「マンガ」がどのように変容していくかについて、「APL（アドバンスドパブリッシングラボ）」の協力のもと、長期にわたる経験と最新の現場の知見を動員しながら考察する。とりわけ媒体の多様性・流動性を理解しながら、私たちの表現やコミュニケーションのあり方や「パブリケーション（＝公にすること）」の可能性について考察する。
25,パターンランゲージ,この授業では、創造的な未来をつくるための言語「パターンランゲージ」について、その考え方と方法を学びます。パターンランゲージでは、創造・実践の経験則 を「パターン」という小さな単位にまとめ、それを体系化します。かつて、建築家のクリストファー・アレグザンダーは、いきいきとした町や建物に繰り返し現れる関係性をパターンとして定義し、253個のパターンを抽出・記述しました。その後この考え方は、ソフトウェア開発の分野に応用され、現在でも広く活用されています。SFCでは、創造的な学びのための「ラーニング・パターン」や、創造的プレゼンテーションのための「プレゼンテーション・パターン」、創造的コラボレーションのための「コラボレーション・パターン」などが制作されてきました。この授業では、パターンランゲージの考え方を学びながら、新しい分野において自らパターン・ランゲージをつくることができるようになることを目指します。
26,グローバル・イシュー・プラクティス,以下の科目を「フィールドワーク関連科目」と称します。・「フィールドワーク A/B/C/D」・「インターンシップ A/B」・「グローバル・パートナーズ・ネットワーキング」（GRプログラムサティフィケート修得要件科目）　　―GRが提携先としている内外の大学、研究機関等を拠点として行うフィールドワーク・「グローバル・イシュー・プラクティス」（GRプログラムサティフィケート修得要件科目）　 ―グローバルな政策課題に対して自分なりの政策提言あるいは仮説に基づくフィールドワーク個人の研究テーマに関連した国内外での実地調査や研究活動（フィールドワーク）あるいは就業体験（インターンシップ）を行い、具体的な成果を挙げることが当科目の目的です。活動前に「研究計画書」等の書類を提出し、研究計画書の内容について書類選考が行われ、選考に通過した者のみ活動の翌学期において履修申告が認められます。申請方法、活動期間などの詳細は塾生の皆様へwebサイトで告知します。活動は春季・夏季休業期間中に行うものとします。活動前には各自がアドバイザーとして選定した教員より、3時間以上を基準にした事前オリエンテーションを受けることが必要です。活動時間に関しては、フィールドワークの場合は45時間以上、インターンシップの場合は実質70時間以上または10日以上の活動となることが前提です。尚、インターンシップで申請する場合は、各自のアドバイザー教員が実習内容に密に関わっているものであることが前提です。研究テーマと関わりのない活動は申請不可です。課題については履修申告後にτ館掲示板で告知しますので、履修申告をした学期は留意しておいてください。
27,民法（総則・物権）,民法の財産法は，社会における経済活動の基礎であり，法的なものの考え方の出発点になる法律です。この科目では，民法のなかでも総則を定める第1編と，物権について定める第2編を学習します。総則では，契約が無効になる場合や取消しが認められる場合のほか，いわゆる時効のルール等が定められています。物権については，モノの持ち主が有する権利（所有権）のほか，お金を貸すときの担保について成立する権利（抵当権，質権等）等が題材になります。
28,デジタルメディアと映像表現,映像制作の基本を学ぶ授業です。学期を通してテーマを設定し、企画、撮影、編集、上映までの制作行程を学びます。今学期のテーマは「ドキュメンタリー」です。クラス全員で１本の長編ドキュメンタリーを完成することを目指します。撮影機材（デジタルビデオカメラ）の使い方、編集ソフト（Apple Final Cut Pro）の操作など、映像を制作するために必要な基本的な技術・知識の習得を目指します。また同時に、先鋭的な映像作品や互いの作品の鑑賞を通して、映像を撮ること、編集することはどのような行為なのか、どのような表現なのか議論を深めます。授業は講義と実習を平行して行います。
29,デザイン言語総合講座,本講義の目的は、これまでデザイン言語系の科目をいくつか履修した者が、そのトレーニングの中で培った能力を総合し、社会の中での新しいデザインの価値や意義の理解を深め、さらにデザインの能力を向上させることである。よって、デザイン系の研究会に所属する・しようとしている学生、進路をデジタル・アナログを問わずデザイン関連にしようとしている学生は本科目を履修することが望ましい。SFCにおけるデザインの基礎的な科目群は「デザイン言語」という考え方を下にして構成されている。これは人工言語（プログラミング）や自然言語（外国語） と同じように、問題発見と問題解決のツールとしてデザインを捉える視点に基づいている。さらに「デザイン言語」という名称には、あくまでもリテラシー、つまりトレーニングによって使いこなすことのできる一つの能力であるという意味も含まれている。通常デザインは「センス」を前提にするが、それがあるロジックに基づいている以上、そのロジックを学ぶことが同時にセンスを磨くことになる。だからデザイン言語はプロセスに焦点を当てている。　そのため本講義は、実際の作品作りを通して考察から創作へのプロセスを鍛える課題で構成される。その中で、社会の中での新しいデザインの価値や意義を理解し、今後の学習・制作・研究の計画を発展させ、跳躍する契機を自ら作り出すことが期待される。
30,応用環境デザイン（都市環境のデザイン）,応用環境デザインスタジオは、建築、アーバンデザイン、都市計画、そしてランドスケープアーキテクチャを専門とすることを目指して、既に十分な空間環境デザインの教育を受けた大学院生を対象とした空間デザイン演習のアドバンストスタジオです。国際的な視点を有する様々なスケールの現実的問題を課題とし、異なる専門性を最大限に生かし分野横断的に解決方法を見いだすトレーニングを目的としています。 履修者は地域の都市的文脈の読解から、都市環境の抱える現実的問題を把握し、各自の修士研究テーマにも関連させながら、それらに対する提案を建築設計、景観設計、緑地設計、街区設計、地区設計などを通じて行う設計課題に取り組みます。この授業では設計という手段を通して都市環境の重層的な構造を理解し、そして様々な観点から具体的かつ未来志向の都市的デザイン提案へと結びつける高度な総合化技能と説得力のある表現能力を学習します。なお、応用環境の４つのスタジオを全て優秀な成績で履修したものには、非修論コースとしての修士修了の資格が与えられます。
31,プロジェクト,プロジェクト「安全保障」では、さまざまな観点・専門分野から安全保障にアプローチすることで、新たな安全保障研究の構築を目指す。AIやドローン、ビッグデータといった分野の発展が安全保障にいかなる影響を及ぼすのか、あるいは、核兵器、通常兵器、宇宙、サイバーといったドメインを横断する（cross domain）安全保障をいかに構想していくのか。新しい分野と古典的な研究分野の相互作用にも着目していきたい。
32,インドネシア文化論,本授業の目的は、様々な変化が生じている現代インドネシアの様々な事象を検証し、インドネシア社会を理解することにある。　現代のインドネシアは、1998年にスハルト権威主義体制が崩壊して以降、民主化と共に、経済成長も目覚ましい。また一方で、民主主義が定着し始めた社会において、イスラームが顕在化し、社会の様々な側面で力を発揮してきている。　授業では、個別の事例を検証しながら、このような特徴を持つインドネシアの実態や、社会の変化の様子を明らかにしていきたい。　授業で直接扱うのは、インドネシア社会であるが、類似の特徴を持つ、あるいは同様の変化を経験しているアジアの新興国や、混乱が続く中東イスラーム世界など、他の地域の事例も視野に入れつつ、話を進めていきたい。
33,インターンシップＡ,個人の研究テーマに関連した国内外での就業体験（インターンシップ）を行い、具体的な成果を挙げることが当科目の目的です。活動前に「研究計画書」等の書類を提出し、研究計画書の内容について書類選考が行われ、選考に通過した者のみ活動の翌学期において履修申告が認められます。申請方法、活動期間などの詳細は塾生の皆様へwebサイトを確認してください（http://www.gakuji.keio.ac.jp/sfc/gsmg/fieldwork_mag.html）。活動は春季・夏季休業期間中に行うものとします。活動前には各自がアドバイザーとして選定した教員より、3時間以上を基準にした事前オリエンテーションを受けることが必要です。活動時間に関しては、実質70時間以上または10日以上の活動となること、また、各自のアドバイザー教員が実習内容に密に関わっているものであることが前提です。研究テーマと関わりのない活動は申請不可です。インターンシップ実施後は、レポートを提出してください。レポート課題については履修申告後にA館、τ館掲示板で告知しますので、履修申告をした学期は留意しておいてください。
34,朝鮮語インテンシブ１,世界中の言語の中で、朝鮮語ほど日本語を母語とする私たちにとって学びやすい言語はありません。その理由としては、①日本語と語順が100％一致していること、②文法が日本語と瓜二つで逐語訳がそのまま日本語になること、③膨大な量の漢字語が日本語と共通していること、そして④文化の深層・基底部分が類似していること、といったことが考えられます。私たちがすでに日本語能力として持っている相当部分が、朝鮮語能力のかなりの部分として、そっくりそのまま利用できるのです。 ハングル文字の仕組みや発音の基礎を初めて学ぶ初級の段階でも、短期間で非常に高いレベルの語学能力を習得できます。日本語の基礎がきちんと身についている人であったならば、朝鮮語が上達するスピードは極めて速いと言えます。
35,フォレスト・サイエンス・アンド・エンジニアリング（下流）,フォレスト・サイエンス・アンド・エンジニアリングでは、山林（森林）、林業から木材、木造までを扱います。このフォレスト・サイエンス・アンド・エンジニアリングの“下流”では、中下流域にある木材や木造を中心に、フォレスト・サイエンス・アンド・エンジニアリングの“上流”（秋学期）は、上流域にある山林（森林）や林業を中心にします。専門知識の教授ならびに、実態と問題、それに対する技術や社会制度について解説していくことで、履修生の専門知識の獲得と当該分野への理解を深め、また履修生各自の考えを醸成していきます。国土の67％をしめる山林とそれに関わる産業は我々の生活に密接に関わっており、また山林から木材、木造に至る問題は、我が国の技術開発や社会制度設計が見失った側面を分かりやすく映し出す鏡とも言えます。履修生が将来この分野を専門にしなくても、重要な意志決定をすべき時に、思考の広がりと深さに寄与する授業内容にしたいと考えています。
36,組織経営の会計,会計をはじめて学習する者を対象に開講する｡ この講義は､ 組識を経営する上で必要な会計のスキル習得を狙っており､ 毎回､ケース等を使いながら計算手法を通じて経理センスを身に付けるとともに､ 意思決定のポイント､ タイミング等を学んでいく｡いわゆる会計学の内容だけでなく､ 資金の調達方法､ 業務のアウトソーシング､ タックスマネジメント等､マネジメントに必要な財務知識もカバーしている｡ 企業ばかりでなく非営利組識､ 国・地方自治体においても経済的､ 効率的､有効的な運営管理が要請されており､ これらにも共通の課題を取上げる｡　なお､ オンラインを利用した補助教材が用意されており､ 教室での授業以外に､トレーニングを積むことが必要である。
37,ゲノム解析ワークショップ,バイオテクノロジーの目覚ましい発展により、誰もが自分のゲノム−DNAで綴られた自らの設計図−を入手可能な時代が目前に迫って来ている。このような「パーソナルゲノム」は、基礎科学や医療・創薬などのみならず、極めて近い将来に倫理・経済・法などといったさまざまな社会システムに甚大な影響を与えることがもはや不可避である。本講義では、実際にパーソナルゲノムやバイオインフォマティクス（生物情報学）研究で活用されているソフトウェアを実習形式で実際に使いながら、実践的にゲノム解析を習得し、生命科学の方法を体験的に理解することを目的としている。
38,ドイツ語インテンシブ２,SFCのドイツ語教育は、コミュニケーション主体の、実際に使える外国語の習得を第一目標としています。特に初級のうちは、実際に必要な<コミュニケーションの場>と、そこでの<話題>を中心に、短い<キーセンテンス>と<単語>の組み合わせをもとに勉強し、文法はあくまでもその補足としてあつかいます。 SFC生のために作成された動画ビデオと教科書、その他副教材を用いて授業をおこないます。毎週１課ずつ新しいテーマと文法事項が設定されています。教材はすべてSFCで勉強する皆さんの生活や専門分野、関心事項にあわせてオリジナルで制作されたもので、文法進度や、学習すべき項目などもすべてSFCのカリキュラムに従って設定されています。１週間に10前後のキーセンテンスと、40〜50ほどの単語を覚え、１学期間で100から150のキーセンテンスと、 700程度の単語を自由に使えるようになることを目標としています。インテンシブ初級１とインテンシブ初級２を履修すると、ドイツ語の基礎文法は全て習得したことになります。CEFRのA2レベルに相当します。
39,財政政策（地方政府）,全国の自治体は、財政破綻した北海道夕張市を他人事では済ますことはできない。1960年代以降およそ3000余りあった市町村が「平成の大合併」を経て 2014年には1718にまで減ってしまった。合併は地方自治体の規模を財政的に見直すきっかけになった。自主財源の大きさに見合った住民サービスの範囲を再検討することも求められる。この講義では，国対地方の関係において地方財政が抱える課題，そして地方自治体の歳入・歳出活動における課題について問題提起する。加えて地方財政と地方自治のあり方について国際比較を交えながら検討を行い，受講生とともに課題の解決策を探りたい。特に市町村の財政状況について判断する材料である決算状況を読めるようにする。授業は講義形式で行う。
40,環境空間論,省エネルギー・環境負荷軽減をふまえた上で、快適な建築内部環境をつくり・維持するための設備的手法について、適切な計画ができるようになるための考え方、具体的手法について学ぶ。そして建築および都市に設けられる各種設備の個々の技術と，その環境に対する影響や役割について理解を深める。講義はスライドによる講義をもとに、理解・考察を深めるための演習、ディスカッションを中心に行う。各テーマ（空調・照明・衛生設備設計、省エネ計画、計画手法など）毎に世界各国での事情と日本の事情との比較を通して、広い視点を提供するほか、実際の事例を紹介して実務的な理解を深める。
41,プロテオミクス,生体内に存在する多種多様なタンパク質は、発現量の変化、翻訳後修飾の有無、あるいは他のタンパク質や生理活性低分子と結合することによって、多くの生理機能発現に深く関わっている。例えば、がんや生活習慣病に罹患した場合や、薬物や酸化ストレスなどの外的因子の刺激を受けることで生体内タンパク質のプロファイルは変動する。タンパク質の1種である代謝酵素の発現量に変化があれば、関連する代謝産物群（メタボローム）のプロファイルにも影響が及ぶ。また、特定のタンパク質のリン酸化修飾によって起こるシグナル伝達によって、特定遺伝子の転写やアポトーシスによる細胞死が誘発されることが知られている。そのため、生体内タンパク質を網羅的に解析するプロテオミクスを駆使して様々な生命現象を解明する研究が盛んに行われている。本講義では、研究事例を取り上げながら、プロテオミクスの研究に不可欠な基礎技術から最先端の話題までを概説する。
42,数理生物学,近年の爆発的な技術の進展により、生命科学の主流はは分子レベルのビッグデータサイエンスになりつつあります。そうしたアプローチが明らかにするのは、分子機械としての生命システムのしくみと、系統樹と名づけられた、生命情報の統計学的相関図です。数多くの謎が解き明かされ、多方面に応用される一方で、未解決のままである素朴な問題も数多くあります。なぜＡＴＰを使うのか、生命の最初のエネルギー源はなんだったのか、どうやってミトコンドリアは進化できたのか、動物だけが自在な移動能力を獲得できたのはなぜか、一部の動物だけが温血性を獲得したのはなぜか……この授業ではこういった素朴な質問に、現時点でどこまで答えることができているのかを考えます。
